customer_id,first_name,last_name,email,phone,gender,date_of_birth,city,state,country,customer_segment,signup_date,created_date,updated_date
1,Ganesh,Patel,ganesh.patel4511@outlook.com,7756625414,Male,1970-06-03,Thiruvananthapuram,Kerala,India,Gold,2024-06-02,2024-06-02,2024-06-02
2,Mohan,Mehta,mohan.mehta1931@gmail.com,7648825417,Male,1980-05-29,Hubli,Karnataka,India,Silver,2023-04-20,2023-04-20,2023-04-20
3,Yogesh,Rao,yogesh.rao6816@outlook.com,7080253773,Male,1960-01-16,Jaipur,Rajasthan,India,Gold,2022-07-10,2022-07-10,2022-07-10
4,Prakash,Yadav,prakash.yadav8271@outlook.com,8964854383,Male,1977-11-27,Hubli,Karnataka,India,Silver,2025-08-12,2025-08-12,2025-08-12
5,Kiran,Nair,kiran.nair4235@yahoo.com,7807938056,Male,2008-03-01,Hubli,Karnataka,India,Bronze,2022-09-28,2022-09-28,2022-09-28
6,Rashmi,Bhat,rashmi.bhat9920@outlook.com,9729353443,Female,1995-06-30,Chennai,Tamil Nadu,India,Silver,2023-02-03,2023-02-03,2023-02-03
7,Pallavi,Iyer,pallavi.iyer8986@yahoo.com,6899105533,Female,1971-05-31,Visakhapatnam,Andhra Pradesh,India,Gold,2023-02-12,2023-02-12,2023-02-12
8,Gokul,Shetty,gokul.shetty8767@gmail.com,8010113107,Male,1979-07-05,Ahmedabad,Gujarat,India,Silver,2023-02-25,2023-02-25,2023-02-25
9,Zubair,Kapoor,zubair.kapoor8770@gmail.com,6882333778,Male,1973-11-07,Nashik,Maharashtra,India,Bronze,2022-09-27,2022-09-27,2022-09-27
10,Vinay,Patel,vinay.patel9800@yahoo.com,9020557041,Male,1960-09-03,Bangalore,Karnataka,India,Bronze,2026-01-01,2026-01-01,2026-01-01
11,Lokesh,Choudhary,lokesh.choudhary4149@outlook.com,6233288828,Male,1999-10-29,Vadodara,Gujarat,India,Silver,2024-07-09,2024-07-09,2024-07-09
12,Deepika,Das,deepika.das7204@yahoo.com,9760972117,Female,1957-10-08,Aurangabad,Maharashtra,India,Platinum,2024-03-06,2024-03-06,2024-03-06
13,Rohit,Rao,rohit.rao2996@outlook.com,9487364568,Male,1990-05-29,Hubli,Karnataka,India,Bronze,2024-05-18,2024-05-18,2024-05-18
14,Ritu,Gupta,ritu.gupta2801@outlook.com,9345775683,Female,1970-08-16,Vadodara,Gujarat,India,Platinum,2024-04-25,2024-04-25,2024-04-25
15,Imran,Pillai,imran.pillai4644@outlook.com,6844160863,Male,2001-06-21,Hubli,Karnataka,India,Bronze,2025-08-04,2025-08-04,2025-08-04
16,Pooja,Choudhary,pooja.choudhary7379@yahoo.com,6133994936,Female,1974-11-30,Agra,Uttar Pradesh,India,Gold,2023-01-26,2023-01-26,2023-01-26
17,Kunal,Chatterjee,kunal.chatterjee371@gmail.com,6308376548,Male,1964-02-06,Aurangabad,Maharashtra,India,Bronze,2023-12-11,2023-12-11,2023-12-11
18,Khushi,Singh,khushi.singh6553@outlook.com,8439593058,Female,1992-01-21,Kanpur,Uttar Pradesh,India,Bronze,2024-09-14,2024-09-14,2024-09-14
19,Pooja,Mehta,pooja.mehta8746@yahoo.com,9666634282,Female,1960-04-16,Patna,Bihar,India,Gold,2022-09-23,2022-09-23,2022-09-23
20,Venkat,Bhat,venkat.bhat2626@outlook.com,9368980614,Male,2002-07-17,Vijayawada,Andhra Pradesh,India,Silver,2025-02-07,2025-02-07,2025-02-07
21,Ritika,Joshi,ritika.joshi6498@hotmail.com,9912539908,Female,1987-12-02,Vadodara,Gujarat,India,Bronze,2024-03-04,2024-03-04,2024-03-04
22,Archana,Yadav,archana.yadav6177@outlook.com,8294743564,Female,1996-11-11,Jaipur,Rajasthan,India,Silver,2023-09-20,2023-09-20,2023-09-20
23,Amrutha,Mishra,amrutha.mishra6389@gmail.com,8551139412,Female,1990-05-13,Agra,Uttar Pradesh,India,Bronze,2026-06-20,2026-06-20,2026-06-20
24,Jyothi,Joshi,jyothi.joshi242@outlook.com,8683373956,Female,2003-02-01,Pune,Maharashtra,India,Gold,2023-06-07,2023-06-07,2023-06-07
25,Navya,Reddy,navya.reddy1302@hotmail.com,6883172854,Female,2002-07-22,Mangalore,Karnataka,India,Gold,2026-04-07,2026-04-07,2026-04-07
26,Karthik,Pillai,karthik.pillai8714@outlook.com,7352465698,Male,1984-12-21,Salem,Tamil Nadu,India,Gold,2022-07-12,2022-07-12,2022-07-12
27,Mounika,Gupta,mounika.gupta2134@outlook.com,7737437375,Female,1976-08-26,Udaipur,Rajasthan,India,Platinum,2025-10-20,2025-10-20,2025-10-20
28,Shreyas,Gupta,shreyas.gupta8022@outlook.com,9668544554,Male,1993-07-04,Kochi,Kerala,India,Silver,2026-04-21,2026-04-21,2026-04-21
29,Komal,Patel,komal.patel6436@gmail.com,6932539067,Female,1968-06-28,Mysore,Karnataka,India,Platinum,2023-02-05,2023-02-05,2023-02-05
30,Vinay,Kumar,vinay.kumar7413@outlook.com,7051865262,Male,1972-02-10,Visakhapatnam,Andhra Pradesh,India,Bronze,2023-04-04,2023-04-04,2023-04-04
31,Pallavi,Agarwal,pallavi.agarwal4959@yahoo.com,9668329253,Female,2007-07-13,Karimnagar,Telangana,India,Silver,2023-07-23,2023-07-23,2023-07-23
32,Abhishek,Shetty,abhishek.shetty3147@outlook.com,8777078570,Male,1970-11-05,Varanasi,Uttar Pradesh,India,Gold,2026-05-13,2026-05-13,2026-05-13
33,Uday,Choudhary,uday.choudhary3594@yahoo.com,6926743126,Male,1998-08-21,Bhopal,Madhya Pradesh,India,Bronze,2022-07-18,2022-07-18,2022-07-18
34,Shiva,Agarwal,shiva.agarwal8224@hotmail.com,8681179500,Male,1967-06-15,Madurai,Tamil Nadu,India,Gold,2025-12-17,2025-12-17,2025-12-17
35,Rani,Mehta,rani.mehta9894@hotmail.com,8740518517,Female,1963-09-19,New Delhi,Delhi,India,Bronze,2025-02-10,2025-02-10,2025-02-10
36,Pavan,Shetty,pavan.shetty5989@outlook.com,6257244640,Male,1996-10-11,Agra,Uttar Pradesh,India,Bronze,2024-04-14,2024-04-14,2024-04-14
37,Pranav,Mishra,pranav.mishra575@hotmail.com,9201626799,Male,1966-05-05,Surat,Gujarat,India,Gold,2025-08-13,2025-08-13,2025-08-13
38,Rakesh,Yadav,rakesh.yadav2390@yahoo.com,8450175303,Male,1990-01-15,Kanpur,Uttar Pradesh,India,Bronze,2024-01-27,2024-01-27,2024-01-27
39,Keerthana,Singh,keerthana.singh9490@hotmail.com,8678044552,Female,1988-09-21,Bangalore,Karnataka,India,Bronze,2023-02-11,2023-02-11,2023-02-11
40,Deepika,Choudhary,deepika.choudhary5242@gmail.com,6570293649,Female,1976-04-06,Kanpur,Uttar Pradesh,India,Bronze,2025-11-18,2025-11-18,2025-11-18
41,Aishwarya,Rao,aishwarya.rao3097@hotmail.com,7845147651,Female,1981-11-29,Surat,Gujarat,India,Bronze,2025-03-06,2025-03-06,2025-03-06
